group,A,B,C,D,E,K,V
1,49,48,55,58,44,45,45
1,50,57,49,46,51,42,44
1,56,49,54,53,55,59,58
1,47,54,55,50,53,58,54
1,55,55,41,54,43,59,44
1,52,48,57,58,48,55,46
1,49,44,52,42,46,56,51
1,47,40,42,41,53,42,56
1,43,48,48,53,41,56,48
1,54,40,49,59,54,50,54
1,43,56,47,47,51,46,45
1,55,53,48,59,60,58,52
1,56,47,56,58,47,52,46
1,51,56,55,50,53,41,58
1,52,60,52,60,50,43,51
1,55,42,47,40,48,52,44
1,46,57,59,45,59,40,56
1,42,57,55,51,43,43,59
1,40,50,57,41,46,60,57
1,48,45,57,58,41,41,58
1,55,49,47,46,56,43,53
1,49,41,48,52,55,53,42
1,47,44,51,43,57,45,44
1,46,42,45,51,57,55,48
1,57,47,60,46,53,54,46
1,60,45,53,55,56,60,59
1,50,54,42,48,50,42,41
1,50,53,55,57,54,57,48
1,44,42,57,55,47,41,46
1,58,42,40,48,41,45,50
1,43,50,59,49,41,44,56
1,59,53,57,59,43,53,56
1,54,41,43,43,43,54,57
1,55,47,49,47,47,52,42
1,58,42,41,51,56,43,49
1,40,47,44,58,57,58,55
1,42,42,56,47,49,60,60
1,44,41,42,54,48,44,51
1,51,47,44,43,57,55,52
1,57,51,52,54,52,46,43
1,42,57,60,41,54,55,56
0,47,43,59,56,40,42,52
0,46,50,53,54,42,48,53
0,44,47,45,59,47,45,53
0,45,55,44,42,44,52,40
0,59,50,46,53,45,47,44
0,51,55,60,45,55,55,40
0,60,60,48,57,42,42,54
0,60,60,58,54,45,49,54
0,45,52,47,60,40,56,43
0,58,44,44,60,45,50,51
0,55,47,48,58,46,45,56
0,59,56,44,59,58,42,60
0,48,53,57,57,55,48,54
0,57,43,59,40,43,47,56
0,57,49,40,57,56,41,58
0,45,52,47,59,56,42,42
0,45,53,50,42,48,42,44
0,51,43,45,54,45,47,51
0,52,43,54,54,44,50,40
0,48,42,57,45,49,51,55
0,60,41,44,52,40,44,48
0,60,48,50,56,60,60,47
0,41,44,53,60,56,51,47
0,43,58,41,42,60,50,60
0,59,48,58,55,54,43,41
0,49,45,51,42,60,40,40
0,41,42,54,59,48,53,58
0,50,41,56,49,56,40,45
0,52,56,55,54,46,53,55
0,57,52,40,58,42,43,60
0,58,41,47,43,50,42,43
0,58,55,53,45,52,58,56
0,60,56,52,42,60,46,59
0,49,54,46,45,55,51,54
0,42,46,54,59,51,48,55
0,51,60,58,55,55,60,51
0,42,55,58,54,43,54,41
0,52,51,50,56,40,41,54
0,44,41,46,40,57,41,57
0,55,42,57,56,57,42,58
0,43,56,50,51,40,49,53
0,42,46,56,50,42,40,56
0,55,48,42,45,47,53,55
0,41,60,47,52,43,55,55
0,50,54,60,49,44,55,58
0,42,50,46,54,53,40,47
0,43,52,40,47,49,47,57
0,59,44,44,57,49,41,47
0,49,57,52,41,52,46,50
0,56,47,47,49,40,51,40
0,55,60,49,48,53,52,52
0,42,57,48,43,49,53,42
0,49,51,58,57,43,59,40
0,57,56,56,58,60,48,43
0,57,41,57,42,46,58,48
0,41,57,58,45,44,43,60
0,58,45,49,59,50,55,56
0,55,40,47,53,43,41,48
0,52,52,41,45,50,42,52
0,44,44,56,40,49,54,44
0,57,46,51,47,59,44,52
0,59,60,45,53,41,58,49
0,48,50,56,48,49,47,43
0,56,57,47,55,52,42,47
0,56,48,41,43,46,59,50
0,44,40,49,46,57,41,60
0,54,49,59,55,50,45,44
0,56,42,50,52,52,42,41
0,53,42,51,57,41,47,57
0,40,41,42,42,45,60,40
0,59,57,60,52,48,46,41
0,46,47,44,48,55,53,45
0,52,49,55,46,47,54,56
0,52,41,50,48,52,48,54
0,58,53,50,40,46,58,52
0,43,60,52,54,58,45,40
0,56,57,44,59,58,45,54
0,50,59,43,47,57,43,53
0,46,52,53,51,45,51,44
0,43,59,54,59,44,43,50
0,57,46,43,42,49,55,49
0,49,49,41,60,53,46,48
0,51,46,59,56,60,58,53
0,44,51,59,41,41,60,49
0,47,46,50,55,43,46,58
0,51,40,51,58,41,53,57
0,53,57,52,57,54,52,53
0,53,58,41,54,48,41,49
0,42,57,48,51,58,49,46
0,43,54,52,47,57,58,54
0,58,53,49,60,59,47,48
0,46,41,55,44,58,60,42
0,60,48,51,48,49,53,49
0,52,56,55,51,47,46,41
0,60,54,51,47,57,60,47
0,44,48,43,47,54,51,45
0,49,48,45,54,41,50,57
0,50,53,44,42,41,41,41
0,45,44,42,44,49,49,53
0,47,42,47,57,51,47,43
0,46,45,45,50,53,46,46
0,40,58,55,40,55,51,48
0,53,51,41,57,47,52,52
0,57,42,57,60,48,52,43
0,57,57,60,50,52,47,48
0,58,57,43,52,57,58,42
0,47,51,40,50,49,45,51
0,49,53,50,41,49,40,50
0,60,58,55,55,49,54,51
0,56,50,49,48,45,59,53
0,59,59,54,44,59,44,60
0,60,57,43,45,40,57,53
0,47,56,41,52,56,54,51
0,44,59,60,48,49,43,43
0,42,52,42,55,47,52,44
0,51,44,55,48,58,55,54
0,52,51,60,41,41,57,59
0,55,50,58,49,42,47,44
0,54,52,49,46,54,52,53
0,45,55,42,40,43,60,40
0,42,43,56,54,47,42,41
0,54,47,44,50,59,47,45
0,55,52,41,40,46,43,48
0,51,43,47,53,43,41,47
0,45,59,52,58,40,51,44
0,46,50,50,41,54,57,56
0,49,55,46,56,58,42,42
0,49,41,45,52,49,44,55
0,42,58,43,48,60,42,52
0,54,42,52,45,51,43,46
0,49,50,42,48,40,59,56
0,52,59,42,45,50,47,41
0,47,58,53,40,49,48,40
0,44,49,49,47,50,47,42
0,47,40,57,40,49,59,53
0,44,46,43,52,55,46,49
0,57,50,51,48,48,46,59
0,46,57,42,41,40,56,55
0,48,60,58,51,59,60,48
0,48,49,48,42,58,41,52
0,51,58,46,51,53,52,50
0,52,47,60,51,41,54,45
0,58,51,60,58,46,53,60
0,49,54,47,57,42,42,49
0,50,52,41,54,40,48,52
0,45,41,55,51,44,52,40
0,54,41,48,44,55,42,52
0,51,46,48,52,45,55,43
0,40,42,50,54,58,45,55
0,47,53,50,54,42,47,40
0,47,43,51,58,53,57,40
0,42,42,56,44,55,52,59
0,45,46,53,44,51,49,56
0,45,42,45,55,51,56,56
0,52,59,42,48,52,60,52
0,45,54,52,49,42,43,56
0,59,45,57,57,60,40,50
0,58,55,42,41,53,60,46
0,42,45,50,47,54,60,47
0,52,56,53,55,49,40,52
0,48,60,59,44,52,42,53
0,53,46,53,53,45,54,50
0,40,51,53,41,47,47,53
0,50,49,43,41,42,57,44
0,43,41,50,60,50,47,53
0,41,44,55,51,40,50,58
0,45,60,51,43,41,51,47
0,51,40,43,40,48,58,54
0,59,57,52,44,41,52,49
0,51,44,48,58,42,47,43
0,54,57,50,60,51,48,40
0,47,58,45,50,60,50,42
0,44,56,41,56,43,40,49
0,51,58,45,42,59,53,58
0,48,56,47,46,47,49,58
0,58,51,53,49,60,49,50
0,41,57,43,50,50,54,55
0,41,42,57,56,60,49,41
0,42,42,50,56,47,60,53
0,44,40,55,60,47,41,53
0,48,50,42,55,60,44,44
0,48,51,57,57,54,42,57
0,44,42,46,41,48,46,41
0,51,49,47,56,53,55,45
0,57,60,55,58,59,51,45
0,44,52,54,53,58,41,47
0,56,50,54,40,52,46,44
0,57,45,52,42,43,52,46
0,45,56,43,60,60,48,53
0,51,57,47,54,51,54,41
0,59,41,44,42,43,43,43
0,46,49,54,60,53,47,58
0,57,53,57,45,45,59,55
0,45,40,41,59,53,46,49
0,53,55,53,46,51,49,45
0,53,55,45,56,44,50,44
0,50,53,59,56,40,59,60
0,42,57,43,48,49,57,43
0,40,44,57,60,54,57,60
0,47,47,42,58,50,40,46
0,57,41,53,55,41,50,47
0,59,56,55,54,43,51,43
0,51,44,42,50,47,60,58
0,47,52,53,60,55,58,46
0,45,51,43,46,50,44,44
0,58,60,57,59,60,55,59
0,45,43,54,52,48,45,45
0,47,53,56,49,58,60,42
0,49,50,53,57,59,50,45
0,54,56,49,48,42,47,57
0,54,42,58,59,46,43,45
0,50,49,40,41,44,40,51
0,57,51,41,60,57,45,58
0,50,59,51,46,42,42,60
0,41,55,59,47,59,55,58
0,53,51,48,45,40,54,53
0,48,42,41,51,59,59,52
0,41,49,58,42,40,42,49
0,43,49,59,60,50,58,59
0,45,59,59,41,52,47,41
0,53,47,48,50,44,49,50
0,40,49,54,53,50,42,59
0,47,59,59,54,55,55,44
0,60,42,48,60,59,45,58
0,55,40,46,50,48,42,44
0,45,45,58,55,59,60,43
0,50,52,55,55,55,47,54
0,49,46,58,52,52,55,60
0,40,47,53,52,52,53,40
0,57,49,50,60,43,51,40
0,41,42,45,46,58,55,42
0,55,57,50,56,51,57,43
0,42,50,48,48,59,55,49
0,60,54,55,42,53,51,55
0,55,44,48,60,46,50,47
0,58,56,55,58,56,41,44
0,59,58,40,43,47,56,54
0,58,47,49,40,58,48,49
0,49,47,52,41,53,55,54
0,58,57,55,57,57,50,46
0,49,49,60,40,48,44,56
0,53,46,51,59,44,48,42
0,54,55,54,57,56,52,59
0,49,57,60,42,51,43,53
0,60,56,50,47,60,49,51
0,52,42,45,47,54,59,48
0,48,42,58,58,57,52,53
0,42,42,43,50,46,47,51
0,59,60,56,47,55,53,48
0,43,47,45,46,49,54,58
